"","time","sum_flux","valtype"
"244","1983-03-16",11.7168862000842,"min"
"245","1983-04-16",11.852983682693,"min"
"246","1983-05-16",15.2104326658663,"min"
"247","1983-06-16",17.2676799124058,"min"
"248","1983-07-16",19.0217203607274,"min"
"249","1983-08-16",18.2310040751605,"min"
"250","1983-09-16",14.8176876007372,"min"
"251","1983-10-16",13.2335110658737,"min"
"252","1983-11-16",11.5510331007153,"min"
"253","1983-12-16",11.3825646021409,"min"
"254","1984-01-16",11.4513373580382,"min"
"255","1984-02-15",11.2929648250058,"min"
"256","1984-03-16",11.6478887073531,"min"
"257","1984-04-16",11.6237888620086,"min"
"258","1984-05-16",13.5954837961448,"min"
"259","1984-06-16",16.7260245216095,"min"
"260","1984-07-16",17.6459835154822,"min"
"261","1984-08-16",16.9021880245542,"min"
"262","1984-09-16",14.5136228201534,"min"
"263","1984-10-16",12.8962505931656,"min"
"264","1984-11-16",11.6676191422909,"min"
"265","1984-12-16",10.9159343967156,"min"
"266","1985-01-16",11.4583817741896,"min"
"267","1985-02-15",11.5699292013835,"min"
"268","1985-03-16",11.6470409062588,"min"
"269","1985-04-16",12.7999418387574,"min"
"270","1985-05-16",15.0609394013339,"min"
"271","1985-06-16",17.713641548604,"min"
"272","1985-07-16",19.2855806872594,"min"
"273","1985-08-16",17.9354484327386,"min"
"274","1985-09-16",15.3645272044025,"min"
"275","1985-10-16",13.3094395188957,"min"
"276","1985-11-16",12.1176439979019,"min"
"277","1985-12-16",10.9636465958054,"min"
"278","1986-01-16",11.0167630219152,"min"
"279","1986-02-15",11.1688163170493,"min"
"280","1986-03-16",11.5808696506234,"min"
"281","1986-04-16",11.9349640435256,"min"
"282","1986-05-16",13.5239510437729,"min"
"283","1986-06-16",16.6640532282058,"min"
"284","1986-07-16",18.3272282996501,"min"
"285","1986-08-16",17.5856690622712,"min"
"286","1986-09-16",14.8006822342286,"min"
"287","1986-10-16",12.9401839545679,"min"
"288","1986-11-16",11.591058241091,"min"
"289","1986-12-16",11.2785474652133,"min"
"290","1987-01-16",11.6875662070264,"min"
"291","1987-02-15",12.1680386653243,"min"
"292","1987-03-16",11.7379386449278,"min"
"293","1987-04-16",12.0905892757487,"min"
"294","1987-05-16",14.0024527171479,"min"
"295","1987-06-16",16.0859030072179,"min"
"296","1987-07-16",18.7544104787004,"min"
"297","1987-08-16",17.4305411650001,"min"
"298","1987-09-16",14.9074738474638,"min"
"299","1987-10-16",12.8965373061482,"min"
"300","1987-11-16",11.3505326011298,"min"
"301","1987-12-16",10.7553550782726,"min"
"302","1988-01-16",10.459629627281,"min"
"303","1988-02-15",10.9200036706826,"min"
"304","1988-03-16",11.1894907712861,"min"
"305","1988-04-16",11.6541317245712,"min"
"306","1988-05-16",13.6520207060607,"min"
"307","1988-06-16",16.5618198252351,"min"
"308","1988-07-16",18.2278949416245,"min"
"309","1988-08-16",17.1666772280533,"min"
"310","1988-09-16",14.3556487820115,"min"
"311","1988-10-16",12.8165939355777,"min"
"312","1988-11-16",11.496801278725,"min"
"313","1988-12-16",10.6698747779651,"min"
"314","1989-01-16",11.7494718105275,"min"
"315","1989-02-15",12.1420488796582,"min"
"316","1989-03-16",13.0946198948071,"min"
"317","1989-04-16",13.3200946935091,"min"
"318","1989-05-16",14.5533504496953,"min"
"319","1989-06-16",17.1771135845922,"min"
"320","1989-07-16",19.7066914984587,"min"
"321","1989-08-16",19.8129516156893,"min"
"322","1989-09-16",18.2811922100504,"min"
"323","1989-10-16",15.0300334661755,"min"
"324","1989-11-16",13.8154528472669,"min"
"325","1989-12-16",12.7411754840597,"min"
"326","1990-01-16",12.9178949765192,"min"
"327","1990-02-15",13.7117353436749,"min"
"328","1990-03-16",14.8551507970397,"min"
"329","1990-04-16",14.6889907213312,"min"
"330","1990-05-16",16.024159503346,"min"
"331","1990-06-16",17.9231709387033,"min"
"332","1990-07-16",20.3142640727096,"min"
"333","1990-08-16",19.6769148783975,"min"
"334","1990-09-16",17.1288738435315,"min"
"335","1990-10-16",14.547980195973,"min"
"336","1990-11-16",12.5966371884578,"min"
"337","1990-12-16",11.5123006561051,"min"
"338","1991-01-16",11.1218270644563,"min"
"339","1991-02-15",11.6076095404932,"min"
"340","1991-03-16",12.6861772180678,"min"
"341","1991-04-16",13.106678968765,"min"
"342","1991-05-16",14.9211958434848,"min"
"343","1991-06-16",17.7964226133967,"min"
"344","1991-07-16",19.2411687873863,"min"
"345","1991-08-16",19.558116281968,"min"
"346","1991-09-16",16.9650519711347,"min"
"347","1991-10-16",14.3951334443729,"min"
"348","1991-11-16",12.3135690464322,"min"
"349","1991-12-16",11.0801715213725,"min"
"350","1992-01-16",10.83619974504,"min"
"351","1992-02-15",11.2652735082865,"min"
"352","1992-03-16",12.7872316732196,"min"
"353","1992-04-16",13.1560086273269,"min"
"354","1992-05-16",15.0492637708055,"min"
"355","1992-06-16",17.9596331591658,"min"
"356","1992-07-16",19.488642755217,"min"
"357","1992-08-16",19.0984082599936,"min"
"358","1992-09-16",16.9879540330563,"min"
"359","1992-10-16",14.5216608957801,"min"
"360","1992-11-16",12.6276483016384,"min"
"361","1992-12-16",11.607573038995,"min"
"362","1993-01-16",12.0847702186226,"min"
"363","1993-02-15",12.4253272357392,"min"
"364","1993-03-16",13.0741584567927,"min"
"365","1993-04-16",13.1024433199279,"min"
"366","1993-05-16",14.8559621420619,"min"
"367","1993-06-16",18.0910491543739,"min"
"368","1993-07-16",19.2575447319341,"min"
"369","1993-08-16",19.5770590287513,"min"
"370","1993-09-16",17.2009396992911,"min"
"371","1993-10-16",15.1184188148607,"min"
"372","1993-11-16",12.9297418380025,"min"
"373","1993-12-16",12.1254292155647,"min"
"374","1994-01-16",12.4329227677177,"min"
"375","1994-02-15",13.0543323915003,"min"
"376","1994-03-16",12.9842698699148,"min"
"377","1994-04-16",13.0883433014498,"min"
"378","1994-05-16",15.324632939209,"min"
"379","1994-06-16",17.5150162506526,"min"
"380","1994-07-16",18.9872168883607,"min"
"381","1994-08-16",19.3269379071855,"min"
"382","1994-09-16",17.1542165173942,"min"
"383","1994-10-16",15.4369811231033,"min"
"384","1994-11-16",12.9761076116221,"min"
"385","1994-12-16",12.4390553071746,"min"
"386","1995-01-16",12.5261075343194,"min"
